config	chain	metric	metric_label	raw_value	raw_count	denominator	frames	lefs_per_frame	chain_length	num_chains	gene_body_sites_per_chain	ctcf_boundary_sites_per_chain	internal_boundaries_per_chain	baseline_config1_mean	fold_vs_config1_mean
config1	5	boundary_crossing_stripe	Boundary-crossing stripe	0.08409166666666666	10091	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.3834468954360375
config1	6	boundary_pass_event	Boundary pass events	0.0023667850059169624	284	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.1653672548215017
config1	6	cross_tad_occupancy	Cross-boundary occupancy	0.5291833333333333	63502	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.117489300596914
config1	6	crossed_boundaries	Boundary-counted crossing	0.5416833333333333	65002	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.1232184575401927
config1	6	multi_tad_crossing	Multi-TAD crossing	0.0125	1500	120000	20000	208	5000	10	3113	12	6	0.0083	1.5060240963855422
config1	6	one_ctcf_leg_stripe	One CTCF-leg stripe	0.4587333333333333	55048	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	0.8103910481291137
config1	6	boundary_crossing_stripe	Boundary-crossing stripe	0.04475833333333333	5371	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	0.7363485556819895
config1	7	boundary_pass_event	Boundary pass events	0.00200010000500025	240	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	0.9848173984407058
config1	7	cross_tad_occupancy	Cross-boundary occupancy	0.4525166666666667	54302	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	0.9555904381124001
config1	7	crossed_boundaries	Boundary-counted crossing	0.45564166666666667	54677	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	0.944805015275301
config1	7	multi_tad_crossing	Multi-TAD crossing	0.003125	375	120000	20000	208	5000	10	3113	12	6	0.0083	0.37650602409638556
config1	7	one_ctcf_leg_stripe	One CTCF-leg stripe	0.5686916666666667	68243	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.0046416999250674
config1	7	boundary_crossing_stripe	Boundary-crossing stripe	0.03555	4266	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	0.5848562536844848
config1	8	boundary_pass_event	Boundary pass events	0.002050102505125256	246	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.0094378334017233
config1	8	cross_tad_occupancy	Cross-boundary occupancy	0.449825	53979	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	0.949906380222998
config1	8	crossed_boundaries	Boundary-counted crossing	0.4498916666666667	53987	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	0.9328819862038459
config1	8	multi_tad_crossing	Multi-TAD crossing	6.666666666666667e-05	8	120000	20000	208	5000	10	3113	12	6	0.0083	0.008032128514056226
config1	8	one_ctcf_leg_stripe	One CTCF-leg stripe	0.5899583333333334	70795	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.042211056755933
config1	8	boundary_crossing_stripe	Boundary-crossing stripe	0.04185	5022	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	0.6885016657298365
config1	9	boundary_pass_event	Boundary pass events	0.0021251062553127656	255	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.0463684858432498
config1	9	cross_tad_occupancy	Cross-boundary occupancy	0.4917416666666667	59009	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.0384228235161617
config1	9	crossed_boundaries	Boundary-counted crossing	0.5040333333333333	60484	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.0451485367505773
config1	9	multi_tad_crossing	Multi-TAD crossing	0.012291666666666666	1475	120000	20000	208	5000	10	3113	12	6	0.0083	1.4809236947791165
config1	9	one_ctcf_leg_stripe	One CTCF-leg stripe	0.5119916666666666	61439	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	0.9044763770891697
config1	9	boundary_crossing_stripe	Boundary-crossing stripe	0.028908333333333334	3469	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	0.47558986029804917
config2	0	boundary_pass_event	Boundary pass events	0.0019584312548960783	235	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	0.9643003693065244
config2	0	cross_tad_occupancy	Cross-boundary occupancy	0.4840583333333333	58087	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.0221977418628223
config2	0	crossed_boundaries	Boundary-counted crossing	0.515075	61809	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.0680442085182267
config2	0	multi_tad_crossing	Multi-TAD crossing	0.031016666666666668	3722	120000	20000	208	5000	10	3113	12	6	0.0083	3.736947791164659
config2	0	one_ctcf_leg_stripe	One CTCF-leg stripe	0.7786083333333333	93433	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.375477161746975
config2	0	boundary_crossing_stripe	Boundary-crossing stripe	0.11693333333333333	14032	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.9237465897094914
config2	1	boundary_pass_event	Boundary pass events	0.0018250912545627281	219	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	0.898645876077144
config2	1	cross_tad_occupancy	Cross-boundary occupancy	0.39664166666666667	47597	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	0.8375978432255885
config2	1	crossed_boundaries	Boundary-counted crossing	0.3968083333333333	47617	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	0.8228099641963533
config2	1	multi_tad_crossing	Multi-TAD crossing	0.00016666666666666666	20	120000	20000	208	5000	10	3113	12	6	0.0083	0.020080321285140562
config2	1	one_ctcf_leg_stripe	One CTCF-leg stripe	0.801225	96147	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.4154314072167906
config2	1	boundary_crossing_stripe	Boundary-crossing stripe	0.06511666666666667	7814	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.0712767853470615
config2	2	boundary_pass_event	Boundary pass events	0.001800090004500225	216	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	0.8863356585966351
config2	2	cross_tad_occupancy	Cross-boundary occupancy	0.41036666666666666	49244	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	0.8665812591508052
config2	2	crossed_boundaries	Boundary-counted crossing	0.41630833333333334	49957	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	0.8632445845256363
config2	2	multi_tad_crossing	Multi-TAD crossing	0.005941666666666666	713	120000	20000	208	5000	10	3113	12	6	0.0083	0.715863453815261
config2	2	one_ctcf_leg_stripe	One CTCF-leg stripe	0.7185333333333334	86224	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.2693496173137027
config2	2	boundary_crossing_stripe	Boundary-crossing stripe	0.07816666666666666	9380	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.28597085315529
config2	3	boundary_pass_event	Boundary pass events	0.0021001050052502626	252	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.034058268362741
config2	3	cross_tad_occupancy	Cross-boundary occupancy	0.513	61560	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.0833145624507265
config2	3	crossed_boundaries	Boundary-counted crossing	0.5242833333333333	62914	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.0871383347848327
config2	3	multi_tad_crossing	Multi-TAD crossing	0.011283333333333333	1354	120000	20000	208	5000	10	3113	12	6	0.0083	1.3594377510040159
config2	3	one_ctcf_leg_stripe	One CTCF-leg stripe	0.681025	81723	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.203087989141396
config2	3	boundary_crossing_stripe	Boundary-crossing stripe	0.10404166666666667	12485	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.7116573669129846
config2	4	boundary_pass_event	Boundary pass events	0.0023167825057919564	278	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.1407468198604842
config2	4	cross_tad_occupancy	Cross-boundary occupancy	0.5289833333333334	63478	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.1170669557382589
config2	4	crossed_boundaries	Boundary-counted crossing	0.5354166666666667	64250	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.1102240838275343
config2	4	multi_tad_crossing	Multi-TAD crossing	0.0064333333333333334	772	120000	20000	208	5000	10	3113	12	6	0.0083	0.7751004016064257
config2	4	one_ctcf_leg_stripe	One CTCF-leg stripe	0.6999333333333333	83992	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.2364911516215034
config2	4	boundary_crossing_stripe	Boundary-crossing stripe	0.12165	14598	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	2.0013435516376252
config2	5	boundary_pass_event	Boundary pass events	0.0021334400053336002	256	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.0504718916700861
config2	5	cross_tad_occupancy	Cross-boundary occupancy	0.47651666666666664	57182	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.0062718211510304
config2	5	crossed_boundaries	Boundary-counted crossing	0.490975	58917	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.0180711649317795
config2	5	multi_tad_crossing	Multi-TAD crossing	0.014458333333333333	1735	120000	20000	208	5000	10	3113	12	6	0.0083	1.7419678714859437
config2	5	one_ctcf_leg_stripe	One CTCF-leg stripe	0.81625	97950	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.441974334476215
config2	5	boundary_crossing_stripe	Boundary-crossing stripe	0.0915	10980	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.5053262225634418
config2	6	boundary_pass_event	Boundary pass events	0.0021584412553961032	259	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.062782109150595
config2	6	cross_tad_occupancy	Cross-boundary occupancy	0.49125833333333335	58951	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.0374021567744116
config2	6	crossed_boundaries	Boundary-counted crossing	0.5100583333333333	61207	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.0576417976471888
config2	6	multi_tad_crossing	Multi-TAD crossing	0.016783333333333334	2014	120000	20000	208	5000	10	3113	12	6	0.0083	2.022088353413655
