label	boundary_rel	boundary	C_bnd	C_flank	depth
config1	1425	1425	0.8509920634920635	1.0485200066137565	0.18838738591132717
config1	2123	2123	0.6624007936507936	0.7881904761904762	0.15959299983889164
config1	2859	2859	0.8711640211640211	0.9615887896825396	0.09403683725178558
config1	3622	3622	0.8586309523809523	0.9433179563492063	0.08977567255902397
config1	4900	4900	0.5991402116402117	0.7154368386243387	0.16255331107599283
config1	6142	6142	0.8023809523809524	0.8603412698412698	0.06736898425320323
config1	6833	6833	0.7395502645502645	0.8119586640211641	0.08917744545307574
config1	8032	8032	0.817063492063492	0.9350859788359789	0.1262156522969198
config1	8375	8375	0.845271164021164	1.0234156746031746	0.1740685774146321
config1	8805	8805	0.8489417989417989	0.9818968253968253	0.13540631053705035
config1	9169	9169	0.7614087301587301	0.9251628637566138	0.17700033152321076
config1	1425	11425	0.9066798941798941	1.0756529431216932	0.15708881756174625
config1	2123	12123	0.8044642857142857	1.0544348544973545	0.23706591992563533
config1	2859	12859	0.759755291005291	0.9110899470899472	0.1661028711468327
config1	3622	13622	0.7333333333333333	0.8721134259259259	0.15913078329834138
config1	4900	14900	0.7581349206349206	0.9346200396825398	0.1888308741031976
config1	6142	16142	0.7911044973544974	1.0786435185185186	0.26657465254039314
config1	6833	16833	0.8001984126984127	1.0504092261904763	0.23820317572752495
config1	8032	18032	0.8218253968253968	0.9748217592592593	0.15694803791630615
config1	8375	18375	0.9950396825396826	1.1478371362433861	0.13311771232962144
config1	8805	18805	0.8215939153439153	1.1175884589947092	0.26485110978780707
config1	9169	19169	0.8415674603174603	0.9638816137566139	0.1268974858462635
config1	1425	21425	0.7682208994708994	0.9133210978835978	0.15887095869014
config1	2123	22123	0.8394510582010583	1.000296130952381	0.1607974556476414
config1	2859	22859	0.886276455026455	1.0991140873015872	0.19364471325962673
config1	3622	23622	0.8940476190476191	0.9861354166666666	0.09338250717160382
config1	4900	24900	0.626984126984127	0.7777126322751323	0.19381002575470826
config1	6142	26142	0.8715939153439154	0.9458113425925926	0.07846958891953813
config1	6833	26833	0.7983796296296296	0.9665209986772487	0.17396556233928936
config1	8032	28032	0.6654761904761904	0.8782339616402117	0.24225636955176447
config1	8375	28375	0.9034722222222222	1.0354937169312168	0.12749618133874607
config1	8805	28805	0.9157738095238095	1.0841309523809524	0.15529225734898483
config1	9169	29169	0.8500330687830688	0.9975044642857143	0.1478403363419989
config1	1425	31425	0.8425264550264551	0.9845201719576718	0.14422631549424628
config1	2123	32123	0.7680224867724867	1.0925925925925926	0.2970641646489104
config1	2859	32859	0.7914682539682539	0.9304751984126983	0.1493934977327466
config1	3622	33622	0.9592261904761905	1.1063749999999999	0.13300084467184217
config1	4900	34900	0.7728505291005291	0.9208406084656084	0.16071193864014577
config1	6142	36142	0.7239417989417989	0.9626688161375663	0.24798457495859413
config1	6833	36833	0.988558201058201	1.074743220899471	0.08019126630930522
config1	8032	38032	0.8490410052910053	0.9493392857142857	0.10565061609961253
config1	8375	38375	0.8386904761904762	1.051588955026455	0.20245408419169147
config1	8805	38805	0.8846230158730158	0.9919831349206351	0.10822776644908254
config1	9169	39169	0.782771164021164	0.9248197751322751	0.15359599235515287
config2	1425	1425	0.9391534391534392	1.0114575066137566	0.07148502728738755
config2	2123	2123	0.9111772486772487	1.080511078042328	0.15671642133635372
config2	2859	2859	0.8897486772486772	1.1583035714285714	0.23185190895049834
config2	3622	3622	0.8516865079365079	1.1085661375661375	0.23172242135558113
config2	4900	4900	0.7297619047619047	0.8505922619047618	0.14205438087607017
config2	6142	6142	0.976223544973545	1.0550429894179894	0.07470732968703464
config2	6833	6833	0.805324074074074	1.0419756944444445	0.2271181771629973
config2	8032	8032	0.8558862433862434	1.1023971560846562	0.22361352379929622
config2	8375	8375	1.0160714285714285	1.2264398148148148	0.17152768827482226
config2	8805	8805	1.0238425925925927	1.2273434193121693	0.16580593786344086
config2	9169	9169	0.8575066137566137	1.1815785383597883	0.2742703206619138
config2	1425	11425	0.8499338624338625	1.0529467592592594	0.1928045222041569
config2	2123	12123	0.9310185185185185	1.144713458994709	0.18667985319562688
config2	2859	12859	0.8886904761904761	1.0199032738095237	0.12865219770198794
config2	3622	13622	0.8887896825396825	1.040923611111111	0.1461528271119113
config2	4900	14900	0.8906084656084656	1.1688546626984126	0.2380502948481115
config2	6142	16142	0.9169642857142857	1.1551931216931217	0.20622425073798334
config2	6833	16833	0.8488756613756614	1.054680720899471	0.19513494031472522
config2	8032	18032	0.8940476190476191	1.0535530753968254	0.15139764675749998
config2	8375	18375	1.0883597883597884	1.2446003637566139	0.12553473383636168
config2	8805	18805	1.0019179894179895	1.2090011574074075	0.17128450764554187
config2	9169	19169	0.8905092592592593	1.0428950066137566	0.1461180141702744
config2	1425	21425	0.767989417989418	0.8709413029100529	0.11820760432034227
