label,frames,lefs_per_frame,within_tad_lefs_per_frame,between_tad_lefs_per_frame,adjacent_between_tad_lefs_per_frame,nonadjacent_between_tad_lefs_per_frame,within_tad_lef_pct,between_tad_lef_pct,boundary_crossing_mean,boundary_crossing_events_per_frame,crossing_stripe_share,loop_span_mean,loop_span_median,loop_span_p90,loop_span_p99,loop_span_near_gene_mean,loop_span_away_gene_mean,lefs_near_gene_per_frame,lefs_at_boundary_anchor_per_frame,lefs_at_boundary_anchor_pct,rnapii_mean_count_all_frames,rnapii_gene_body_pct,rnapii_at_boundary_anchor_pct
config1,20000,500.0,465.51215,34.48785,34.44265,0.0452,93.10243,6.89757,0.7265071428571428,34.2256,0.04337445520799927,118.9509955,84.0,265.0,553.0,121.69081614887585,105.07131808525996,417.5721,34.7417,6.94834,1528.7547,100.0,0.0
config2,20000,500.0,462.39375,37.60625,37.58645,0.0198,92.47875,7.52125,0.7575267857142859,37.3021,0.04388224113279531,127.4783476,91.0,283.0,587.0,130.54700480157194,113.0865614674556,412.12545,40.08905,8.01781,,,
config3,20000,500.0,471.8904,28.1096,28.08215,0.02745,94.37808,5.621919999999999,0.6364428571428571,27.90525,0.04017392558986928,135.4626981,94.0,302.0,652.0,139.3901270423126,116.6354162985194,413.70075,64.0013,12.80026,,,
